Date,Hour,sellPriceIndex
2012-01-01,0,757.000
2012-01-01,1,734.000
2012-01-01,2,724.000
2012-01-01,3,678.000
2012-01-01,4,644.000
2012-01-01,5,637.000
2012-01-01,6,625.000
2012-01-01,7,587.000
2012-01-01,8,544.000
2012-01-01,9,555.000
2012-01-01,10,604.000
2012-01-01,11,627.000
2012-01-01,12,657.000
2012-01-01,13,675.000
2012-01-01,14,752.000
2012-01-01,15,771.000
2012-01-01,16,824.000
2012-01-01,17,862.000
2012-01-01,18,866.000
2012-01-01,19,864.000
2012-01-01,20,861.000
2012-01-01,21,844.000
2012-01-01,22,777.000
2012-01-01,23,731.000
2012-01-02,0,731.000
2012-01-02,1,706.000
2012-01-02,2,654.000
2012-01-02,3,640.000
2012-01-02,4,635.000
2012-01-02,5,654.000
2012-01-02,6,659.000
2012-01-02,7,657.000
2012-01-02,8,734.000
2012-01-02,9,797.000
2012-01-02,10,832.000
2012-01-02,11,838.000
2012-01-02,12,842.000
2012-01-02,13,855.000
2012-01-02,14,870.000
2012-01-02,15,895.000
2012-01-02,16,915.000
2012-01-02,17,926.000
2012-01-02,18,923.000
2012-01-02,19,919.000
2012-01-02,20,909.000
2012-01-02,21,897.000
2012-01-02,22,868.000
2012-01-02,23,796.000
2012-01-03,0,742.000
2012-01-03,1,702.000
2012-01-03,2,654.000
2012-01-03,3,642.000
2012-01-03,4,644.000
2012-01-03,5,665.000
2012-01-03,6,673.000
2012-01-03,7,694.000
2012-01-03,8,783.000
2012-01-03,9,844.000
2012-01-03,10,891.000
2012-01-03,11,916.000
2012-01-03,12,928.000
2012-01-03,13,930.000
2012-01-03,14,953.000
2012-01-03,15,968.000
2012-01-03,16,981.000
2012-01-03,17,1015.000
2012-01-03,18,1016.000
2012-01-03,19,995.000
2012-01-03,20,982.000
2012-01-03,21,939.000
2012-01-03,22,905.000
2012-01-03,23,869.000
2012-01-04,0,847.000
2012-01-04,1,734.000
2012-01-04,2,720.000
2012-01-04,3,679.000
2012-01-04,4,675.000
2012-01-04,5,727.000
2012-01-04,6,737.000
2012-01-04,7,799.000
2012-01-04,8,836.000
2012-01-04,9,903.000
2012-01-04,10,923.000
2012-01-04,11,927.000
2012-01-04,12,927.000
2012-01-04,13,928.000
2012-01-04,14,941.000
2012-01-04,15,947.000
2012-01-04,16,948.000
2012-01-04,17,956.000
2012-01-04,18,955.000
2012-01-04,19,944.000
2012-01-04,20,934.000
2012-01-04,21,909.000
2012-01-04,22,884.000
2012-01-04,23,775.000
2012-01-05,0,698.000
2012-01-05,1,624.000
2012-01-05,2,567.000
2012-01-05,3,458.000
2012-01-05,4,465.000
2012-01-05,5,583.000
2012-01-05,6,592.000
2012-01-05,7,637.000
2012-01-05,8,769.000
2012-01-05,9,833.000
2012-01-05,10,873.000
2012-01-05,11,897.000
2012-01-05,12,898.000
2012-01-05,13,901.000
2012-01-05,14,911.000
2012-01-05,15,909.000
2012-01-05,16,914.000
2012-01-05,17,929.000
2012-01-05,18,932.000
2012-01-05,19,922.000
2012-01-05,20,912.000
2012-01-05,21,895.000
2012-01-05,22,840.000
2012-01-05,23,768.000
2012-01-06,0,651.000
2012-01-06,1,512.000
2012-01-06,2,465.000
2012-01-06,3,419.000
2012-01-06,4,431.000
2012-01-06,5,523.000
2012-01-06,6,549.000
2012-01-06,7,611.000
2012-01-06,8,706.000
2012-01-06,9,792.000
2012-01-06,10,802.000
2012-01-06,11,814.000
2012-01-06,12,815.000
2012-01-06,13,818.000
2012-01-06,14,828.000
2012-01-06,15,832.000
2012-01-06,16,836.000
2012-01-06,17,849.000
2012-01-06,18,854.000
2012-01-06,19,841.000
2012-01-06,20,832.000
2012-01-06,21,816.000
2012-01-06,22,802.000
2012-01-06,23,740.000
2012-01-07,0,653.000
2012-01-07,1,603.000
2012-01-07,2,577.000
2012-01-07,3,460.000
2012-01-07,4,467.000
2012-01-07,5,498.000
2012-01-07,6,501.000
2012-01-07,7,561.000
2012-01-07,8,658.000
2012-01-07,9,736.000
2012-01-07,10,774.000
2012-01-07,11,792.000
2012-01-07,12,800.000
2012-01-07,13,800.000
2012-01-07,14,804.000
2012-01-07,15,812.000
2012-01-07,16,820.000
2012-01-07,17,834.000
2012-01-07,18,838.000
2012-01-07,19,832.000
2012-01-07,20,829.000
2012-01-07,21,814.000
2012-01-07,22,801.000
2012-01-07,23,736.000
2012-01-08,0,689.000
2012-01-08,1,650.000
2012-01-08,2,623.000
2012-01-08,3,577.000
2012-01-08,4,585.000
2012-01-08,5,594.000
2012-01-08,6,611.000
2012-01-08,7,631.000
2012-01-08,8,757.000
2012-01-08,9,791.000
2012-01-08,10,854.000
2012-01-08,11,878.000
2012-01-08,12,885.000
2012-01-08,13,883.000
2012-01-08,14,901.000
2012-01-08,15,911.000
2012-01-08,16,921.000
2012-01-08,17,944.000
2012-01-08,18,937.000
2012-01-08,19,925.000
2012-01-08,20,915.000
2012-01-08,21,893.000
2012-01-08,22,856.000
2012-01-08,23,776.000
2012-01-09,0,719.000
2012-01-09,1,666.000
2012-01-09,2,655.000
2012-01-09,3,622.000
2012-01-09,4,636.000
2012-01-09,5,654.000
2012-01-09,6,655.000
2012-01-09,7,700.000
2012-01-09,8,782.000
2012-01-09,9,860.000
2012-01-09,10,909.000
2012-01-09,11,917.000
2012-01-09,12,925.000
2012-01-09,13,929.000
2012-01-09,14,943.000
2012-01-09,15,951.000
2012-01-09,16,961.000
2012-01-09,17,964.000
2012-01-09,18,958.000
2012-01-09,19,945.000
2012-01-09,20,937.000
2012-01-09,21,924.000
2012-01-09,22,879.000
2012-01-09,23,796.000
2012-01-10,0,731.000
2012-01-10,1,665.000
2012-01-10,2,623.000
2012-01-10,3,612.000
2012-01-10,4,635.000
2012-01-10,5,661.000
2012-01-10,6,830.000
2012-01-10,7,960.000
2012-01-10,8,971.000
2012-01-10,9,996.000
2012-01-10,10,989.000
2012-01-10,11,985.000
2012-01-10,12,985.000
2012-01-10,13,992.000
2012-01-10,14,1003.000
2012-01-10,15,1005.000
2012-01-10,16,1025.000
2012-01-10,17,1028.000
2012-01-10,18,1006.000
2012-01-10,19,999.000
2012-01-10,20,965.000
2012-01-10,21,923.000
2012-01-10,22,891.000
2012-01-10,23,764.000
2012-01-11,0,734.000
2012-01-11,1,665.000
2012-01-11,2,640.000
2012-01-11,3,622.000
2012-01-11,4,638.000
2012-01-11,5,668.000
2012-01-11,6,781.000
2012-01-11,7,951.000
2012-01-11,8,966.000
2012-01-11,9,978.000
2012-01-11,10,980.000
2012-01-11,11,956.000
2012-01-11,12,959.000
2012-01-11,13,970.000
2012-01-11,14,986.000
2012-01-11,15,979.000
2012-01-11,16,996.000
2012-01-11,17,991.000
2012-01-11,18,974.000
2012-01-11,19,964.000
2012-01-11,20,926.000
2012-01-11,21,897.000
2012-01-11,22,882.000
2012-01-11,23,745.000
2012-01-12,0,677.000
2012-01-12,1,622.000
2012-01-12,2,562.000
2012-01-12,3,548.000
2012-01-12,4,567.000
2012-01-12,5,574.000
2012-01-12,6,703.000
2012-01-12,7,853.000
2012-01-12,8,923.000
2012-01-12,9,948.000
2012-01-12,10,951.000
2012-01-12,11,937.000
2012-01-12,12,938.000
2012-01-12,13,948.000
2012-01-12,14,960.000
2012-01-12,15,966.000
2012-01-12,16,968.000
2012-01-12,17,963.000
2012-01-12,18,962.000
2012-01-12,19,950.000
2012-01-12,20,916.000
2012-01-12,21,873.000
2012-01-12,22,834.000
2012-01-12,23,704.000
2012-01-13,0,667.000
2012-01-13,1,539.000
2012-01-13,2,465.000
2012-01-13,3,310.000
2012-01-13,4,230.000
2012-01-13,5,244.000
2012-01-13,6,714.000
2012-01-13,7,847.000
2012-01-13,8,915.000
2012-01-13,9,936.000
2012-01-13,10,935.000
2012-01-13,11,917.000
2012-01-13,12,919.000
2012-01-13,13,930.000
2012-01-13,14,936.000
2012-01-13,15,929.000
2012-01-13,16,933.000
2012-01-13,17,941.000
2012-01-13,18,937.000
2012-01-13,19,920.000
2012-01-13,20,889.000
2012-01-13,21,856.000
2012-01-13,22,800.000
2012-01-13,23,691.000
2012-01-14,0,747.000
2012-01-14,1,673.000
2012-01-14,2,650.000
2012-01-14,3,626.000
2012-01-14,4,648.000
2012-01-14,5,627.000
2012-01-14,6,704.000
2012-01-14,7,855.000
2012-01-14,8,877.000
2012-01-14,9,922.000
2012-01-14,10,923.000
2012-01-14,11,919.000
2012-01-14,12,916.000
2012-01-14,13,912.000
2012-01-14,14,916.000
2012-01-14,15,932.000
2012-01-14,16,930.000
2012-01-14,17,957.000
2012-01-14,18,967.000
2012-01-14,19,960.000
2012-01-14,20,927.000
2012-01-14,21,887.000
2012-01-14,22,860.000
2012-01-14,23,787.000
2012-01-15,0,711.000
2012-01-15,1,682.000
2012-01-15,2,654.000
2012-01-15,3,636.000
2012-01-15,4,639.000
2012-01-15,5,645.000
2012-01-15,6,639.000
2012-01-15,7,727.000
2012-01-15,8,832.000
2012-01-15,9,851.000
2012-01-15,10,871.000
2012-01-15,11,874.000
2012-01-15,12,879.000
2012-01-15,13,874.000
2012-01-15,14,897.000
2012-01-15,15,918.000
2012-01-15,16,933.000
2012-01-15,17,995.000
2012-01-15,18,1009.000
2012-01-15,19,978.000
2012-01-15,20,952.000
2012-01-15,21,898.000
2012-01-15,22,852.000
2012-01-15,23,805.000
2012-01-16,0,759.000
2012-01-16,1,676.000
2012-01-16,2,651.000
2012-01-16,3,639.000
2012-01-16,4,643.000
2012-01-16,5,674.000
2012-01-16,6,779.000
2012-01-16,7,927.000
2012-01-16,8,963.000
2012-01-16,9,986.000
2012-01-16,10,969.000
2012-01-16,11,953.000
2012-01-16,12,949.000
2012-01-16,13,955.000
2012-01-16,14,963.000
2012-01-16,15,945.000
2012-01-16,16,950.000
2012-01-16,17,963.000
2012-01-16,18,965.000
2012-01-16,19,967.000
2012-01-16,20,945.000
2012-01-16,21,910.000
2012-01-16,22,901.000
2012-01-16,23,773.000
2012-01-17,0,697.000
2012-01-17,1,630.000
2012-01-17,2,556.000
2012-01-17,3,533.000
2012-01-17,4,577.000
2012-01-17,5,604.000
2012-01-17,6,741.000
2012-01-17,7,875.000
2012-01-17,8,917.000
2012-01-17,9,934.000
2012-01-17,10,934.000
2012-01-17,11,918.000
2012-01-17,12,919.000
2012-01-17,13,925.000
2012-01-17,14,930.000
2012-01-17,15,915.000
2012-01-17,16,919.000
2012-01-17,17,935.000
2012-01-17,18,953.000
2012-01-17,19,953.000
2012-01-17,20,911.000
2012-01-17,21,903.000
2012-01-17,22,876.000
2012-01-17,23,754.000
2012-01-18,0,684.000
2012-01-18,1,600.000
2012-01-18,2,538.000
2012-01-18,3,562.000
2012-01-18,4,578.000
2012-01-18,5,595.000
2012-01-18,6,752.000
