Date,Hour,sellFullPlannedVolume
2012-01-01,0,87501.883
2012-01-01,1,85331.250
2012-01-01,2,84350.625
2012-01-01,3,82859.273
2012-01-01,4,82339.789
2012-01-01,5,82508.727
2012-01-01,6,82867.492
2012-01-01,7,83010.391
2012-01-01,8,82540.688
2012-01-01,9,82835.695
2012-01-01,10,83540.078
2012-01-01,11,84209.086
2012-01-01,12,85012.547
2012-01-01,13,85863.875
2012-01-01,14,87402.125
2012-01-01,15,88969.219
2012-01-01,16,91837.711
2012-01-01,17,93933.875
2012-01-01,18,94635.477
2012-01-01,19,94240.406
2012-01-01,20,93236.672
2012-01-01,21,91739.250
2012-01-01,22,89293.688
2012-01-01,23,86305.547
2012-01-02,0,84421.156
2012-01-02,1,82360.945
2012-01-02,2,81394.039
2012-01-02,3,81004.438
2012-01-02,4,81370.977
2012-01-02,5,82666.430
2012-01-02,6,83976.125
2012-01-02,7,84687.492
2012-01-02,8,85994.812
2012-01-02,9,87363.086
2012-01-02,10,88542.508
2012-01-02,11,89469.070
2012-01-02,12,89768.453
2012-01-02,13,90081.469
2012-01-02,14,91232.969
2012-01-02,15,92428.969
2012-01-02,16,95031.383
2012-01-02,17,96505.938
2012-01-02,18,96729.047
2012-01-02,19,96082.844
2012-01-02,20,94767.602
2012-01-02,21,93035.977
2012-01-02,22,90710.578
2012-01-02,23,87535.984
2012-01-03,0,85065.992
2012-01-03,1,82922.312
2012-01-03,2,81867.438
2012-01-03,3,81507.172
2012-01-03,4,81925.680
2012-01-03,5,83211.195
2012-01-03,6,84836.977
2012-01-03,7,86180.180
2012-01-03,8,88006.672
2012-01-03,9,89968.508
2012-01-03,10,90937.250
2012-01-03,11,91729.344
2012-01-03,12,92187.398
2012-01-03,13,92355.445
2012-01-03,14,93291.664
2012-01-03,15,94110.336
2012-01-03,16,96674.664
2012-01-03,17,98565.516
2012-01-03,18,99067.945
2012-01-03,19,98247.945
2012-01-03,20,96689.203
2012-01-03,21,94424.031
2012-01-03,22,91623.508
2012-01-03,23,88716.609
2012-01-04,0,86516.039
2012-01-04,1,84457.570
2012-01-04,2,83701.445
2012-01-04,3,82921.844
2012-01-04,4,83167.805
2012-01-04,5,84717.523
2012-01-04,6,86366.938
2012-01-04,7,88171.172
2012-01-04,8,90361.359
2012-01-04,9,92451.430
2012-01-04,10,93639.906
2012-01-04,11,94464.438
2012-01-04,12,94631.930
2012-01-04,13,94736.758
2012-01-04,14,95599.984
2012-01-04,15,96451.633
2012-01-04,16,98650.883
2012-01-04,17,100254.359
2012-01-04,18,100837.523
2012-01-04,19,99776.422
2012-01-04,20,98050.711
2012-01-04,21,95930.539
2012-01-04,22,92992.609
2012-01-04,23,89453.406
2012-01-05,0,85247.258
2012-01-05,1,83089.547
2012-01-05,2,82545.695
2012-01-05,3,81798.422
2012-01-05,4,82321.375
2012-01-05,5,83693.055
2012-01-05,6,85481.180
2012-01-05,7,87413.695
2012-01-05,8,89734.047
2012-01-05,9,91610.914
2012-01-05,10,93037.875
2012-01-05,11,94045.055
2012-01-05,12,94128.297
2012-01-05,13,94507.453
2012-01-05,14,95077.258
2012-01-05,15,95802.289
2012-01-05,16,97426.430
2012-01-05,17,99185.953
2012-01-05,18,100218.930
2012-01-05,19,99333.016
2012-01-05,20,97675.383
2012-01-05,21,95495.656
2012-01-05,22,92676.727
2012-01-05,23,89061.125
2012-01-06,0,85458.016
2012-01-06,1,83800.117
2012-01-06,2,83125.734
2012-01-06,3,82451.695
2012-01-06,4,83080.172
2012-01-06,5,84267.094
2012-01-06,6,85964.680
2012-01-06,7,87642.141
2012-01-06,8,90315.820
2012-01-06,9,92297.453
2012-01-06,10,93232.883
2012-01-06,11,94202.883
2012-01-06,12,94258.219
2012-01-06,13,94466.133
2012-01-06,14,95039.875
2012-01-06,15,95647.133
2012-01-06,16,97436.828
2012-01-06,17,99228.766
2012-01-06,18,100118.469
2012-01-06,19,99149.438
2012-01-06,20,97590.703
