Date	Hour	Cluster
2012-01-01	0	17
2012-01-02	0	16
2012-01-03	0	16
2012-01-04	0	16
2012-01-05	0	16
2012-01-06	0	17
2012-01-07	0	17
2012-01-08	0	17
2012-01-09	0	16
2012-01-10	0	4
2012-01-11	0	4
2012-01-12	0	4
2012-01-13	0	4
2012-01-14	0	16
2012-01-15	0	17
2012-01-16	0	4
2012-01-17	0	4
2012-01-18	0	4
2012-01-19	0	3
2012-01-20	0	3
2012-01-21	0	15
2012-01-22	0	15
2012-01-23	0	3
2012-01-24	0	2
2012-01-25	0	2
2012-01-26	0	2
2012-01-27	0	2
2012-01-28	0	14
2012-01-29	0	14
2012-01-30	0	2
2012-01-31	0	1
2012-02-01	0	1
2012-02-02	0	1
2012-02-03	0	1
2012-02-04	0	14
2012-02-05	0	14
2012-02-06	0	2
2012-02-07	0	2
2012-02-08	0	2
2012-02-09	0	2
2012-02-10	0	2
2012-02-11	0	14
2012-02-12	0	14
2012-02-13	0	2
2012-02-14	0	2
2012-02-15	0	3
2012-02-16	0	3
2012-02-17	0	3
2012-02-18	0	15
2012-02-19	0	15
2012-02-20	0	3
2012-02-21	0	4
2012-02-22	0	4
2012-02-23	0	16
2012-02-24	0	5
2012-02-25	0	17
2012-02-26	0	16
2012-02-27	0	4
2012-02-28	0	4
2012-02-29	0	4
2012-03-01	0	5
2012-03-02	0	5
2012-03-03	0	17
2012-03-04	0	17
2012-03-05	0	4
2012-03-06	0	4
2012-03-07	0	4
2012-03-08	0	16
2012-03-09	0	16
2012-03-10	0	16
2012-03-11	0	4
2012-03-12	0	4
2012-03-13	0	4
2012-03-14	0	5
2012-03-15	0	4
2012-03-16	0	4
2012-03-17	0	17
2012-03-18	0	17
2012-03-19	0	5
2012-03-20	0	6
2012-03-21	0	6
2012-03-22	0	5
2012-03-23	0	5
2012-03-24	0	17
2012-03-25	0	17
2012-03-26	0	5
2012-03-27	0	5
2012-03-28	0	5
2012-03-29	0	5
2012-03-30	0	5
2012-03-31	0	18
2012-04-01	0	18
2012-04-02	0	6
2012-04-03	0	6
2012-04-04	0	6
2012-04-05	0	6
2012-04-06	0	6
2012-04-07	0	18
2012-04-08	0	18
2012-04-09	0	6
2012-04-10	0	6
2012-04-11	0	6
2012-04-12	0	6
2012-04-13	0	6
2012-04-14	0	18
2012-04-15	0	19
2012-04-16	0	7
2012-04-17	0	7
2012-04-18	0	7
2012-04-19	0	7
2012-04-20	0	7
2012-04-21	0	19
2012-04-22	0	19
2012-04-23	0	7
2012-04-24	0	7
2012-04-25	0	7
2012-04-26	0	7
2012-04-27	0	7
2012-04-28	0	7
2012-04-29	0	19
2012-04-30	0	19
2012-05-01	0	19
2012-05-02	0	7
2012-05-03	0	7
2012-05-04	0	7
2012-05-05	0	7
2012-05-06	0	19
2012-05-07	0	7
2012-05-08	0	7
2012-05-09	0	7
2012-05-10	0	7
2012-05-11	0	7
2012-05-12	0	19
2012-05-13	0	19
2012-05-14	0	7
2012-05-15	0	8
2012-05-16	0	8
2012-05-17	0	8
2012-05-18	0	8
2012-05-19	0	20
2012-05-20	0	20
2012-05-21	0	8
2012-05-22	0	8
2012-05-23	0	8
2012-05-24	0	8
2012-05-25	0	8
2012-05-26	0	20
2012-05-27	0	20
2012-05-28	0	8
2012-05-29	0	8
2012-05-30	0	8
2012-05-31	0	8
2012-06-01	0	8
2012-06-02	0	20
2012-06-03	0	20
2012-06-04	0	8
2012-06-05	0	8
2012-06-06	0	8
2012-06-07	0	8
2012-06-08	0	8
2012-06-09	0	8
2012-06-10	0	20
2012-06-11	0	20
2012-06-12	0	20
